Title,Link,Date,Source,Summary,Term,LanguageQueried
Cyclone Ditwah nears Tamil Nadu coast: India on high alert after Sri Lanka death toll tops 80; IMD issues - Times of India,https://news.google.com/rss/articles/CBMiywFBVV95cUxOWG5nOFdpajJNY0wzOVFmcUtZM0FwQUduUkFBWUdPWVhScWR4TnFvbEotQm5rM2EtYmNZc2I0c0o3SXIyX0VZSElRblFWTG1WcTdiUUNHekpuU0JPbmNHeUxLZnBUNUNyR29mZDlPeEdLT0tQT1UwcWNwU1I0SFJfZ3V0b2ZVWkE4ajdLUXF6d1o2OF9UbUR2Rng1YzJQenFJSlhmVlVnN1ZNQXJJWmVZeEZta0xMRVhVRVpXREJ0UVNpRFFVNVhDZ05pd9IB0AFBVV95cUxPSGh5LW55TmZlZURzNGV2VUFXbkdVbksxc2l0SkE2Y0hCd3FBMU00aktwanhxQjRNNkxSRktEY3hIX0lhQ0lsTHpEcXNkZ0I4NUtaeFhLQWJFYXhncGxycTVGT2RVR2RmS0xrSXV3eTFfeDgxWkk5azZjSDctQTBzN01EY2llbDZFNGxYYzg3ZHFLa2QwM29RR3pWRG9rMDR6cWpIZ050REg0NUx0MW9VczRZN1d6YzNKd3hLb2V1MUNKRGdsSE5GREwxRUVpaUk0?oc=5,2025-11-29 07:40:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOWG5nOFdpajJNY0wzOVFmcUtZM0FwQUduUkFBWUdPWVhScWR4TnFvbEotQm5rM2EtYmNZc2I0c0o3SXIyX0VZSElRblFWTG1WcTdiUUNHekpuU0JPbmNHeUxLZnBUNUNyR29mZDlPeEdLT0tQT1UwcWNwU1I0SFJfZ3V0b2ZVWkE4ajdLUXF6d1o2OF9UbUR2Rng1YzJQenFJSlhmVlVnN1ZNQXJJWmVZeEZta0xMRVhVRVpXREJ0UVNpRFFVNVhDZ05pd9IB0AFBVV95cUxPSGh5LW55TmZlZURzNGV2VUFXbkdVbksxc2l0SkE2Y0hCd3FBMU00aktwanhxQjRNNkxSRktEY3hIX0lhQ0lsTHpEcXNkZ0I4NUtaeFhLQWJFYXhncGxycTVGT2RVR2RmS0xrSXV3eTFfeDgxWkk5azZjSDctQTBzN01EY2llbDZFNGxYYzg3ZHFLa2QwM29RR3pWRG9rMDR6cWpIZ050REg0NUx0MW9VczRZN1d6YzNKd3hLb2V1MUNKRGdsSE5GREwxRUVpaUk0?oc=5"" target=""_blank"">Cyclone Ditwah nears Tamil Nadu coast: India on high alert after Sri Lanka death toll tops 80; IMD issues</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Cyclone Ditwah: Chennai airport cancels 54 flights, more disruptions expected - National Herald",https://news.google.com/rss/articles/CBMivAFBVV95cUxQS3NsaWdMekl4dDdFbHdaaUg5WW1pQ0F1S2tRR09VUXdMb2s4TmkyR3hKcFVld3ZibTVwYUNndi1Dck81TndXUVZ1Sjhna2RESy1NcXpTWVVyVXNGVGZ2ejd4dHR5SEhmM0RzUTBnTVpvRE1DaHU1VlJGRWdTYlZUMXJSWkFDU0hGM1duLUl1VXFfdUNNaUtWcmdNd3pIUUhRdkU3VWxpODJSdmMzT3U1T3BBR0J1MlUyQVhqRdIBygFBVV95cUxQVHdDUU11YV9IMlRWVThxQUJPYW1fM1FISnhHUFBkRFNiVVZHeUhsaS00blYtU1BqcWpnak5NVXhaYnR4TmZ1WDJhVHZ6N09GNWhuN2JzMXlna3lXNmpmRjY1V3lKbWQ0NEZyQW5RZWRsZEQtUExHVUdWTEYzX3Z4VHduVlVrejJab3RlM21Jb1ZiOW9qT0N5T2NGTE1Ram4wYmJOTzdkZlZpTXFIXzFScXJvWThMWTZFYnh0amxSakVFUy1MMGFHSjZ3?oc=5,2025-11-29 09:41:43,National Herald,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQS3NsaWdMekl4dDdFbHdaaUg5WW1pQ0F1S2tRR09VUXdMb2s4TmkyR3hKcFVld3ZibTVwYUNndi1Dck81TndXUVZ1Sjhna2RESy1NcXpTWVVyVXNGVGZ2ejd4dHR5SEhmM0RzUTBnTVpvRE1DaHU1VlJGRWdTYlZUMXJSWkFDU0hGM1duLUl1VXFfdUNNaUtWcmdNd3pIUUhRdkU3VWxpODJSdmMzT3U1T3BBR0J1MlUyQVhqRdIBygFBVV95cUxQVHdDUU11YV9IMlRWVThxQUJPYW1fM1FISnhHUFBkRFNiVVZHeUhsaS00blYtU1BqcWpnak5NVXhaYnR4TmZ1WDJhVHZ6N09GNWhuN2JzMXlna3lXNmpmRjY1V3lKbWQ0NEZyQW5RZWRsZEQtUExHVUdWTEYzX3Z4VHduVlVrejJab3RlM21Jb1ZiOW9qT0N5T2NGTE1Ram4wYmJOTzdkZlZpTXFIXzFScXJvWThMWTZFYnh0amxSakVFUy1MMGFHSjZ3?oc=5"" target=""_blank"">Cyclone Ditwah: Chennai airport cancels 54 flights, more disruptions expected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Herald</font>",Disaster,en
"Cyclone Ditwah Update: Cyclonic Storm To Bring Extremely Heavy Rainfall In Tamil Nadu & Puducherry, Schools - Free Press Journal",https://news.google.com/rss/articles/CBMi9wFBVV95cUxNRnlRZTR5ZE44RGc1bDlIR2pLakRMTmlvWjNDNjFPRGdOSXhSZkd2Tm94dWJoeVpCVUh6VF9DeFh0Z2FMdURPT3hVTmlONXVsNFRMOWhsMFhaTW1meVRVR3NvQzNTSkE0YUMxVDlETThxM0gwdGhrNkJTLTBKNWZQV0ZrNzNDVUlLcGFaVldURE5HWEtEUW5Nb01qZC1BQnJEa0xLMDYyRW9NVHBIRFhUVzFRc1BQb3BuZXRtSnN2MDBkUWlFMXVFSEY5MENXOThhT0pvR19CbWpZU2hjOHVDNzBfQ1VyMjVkYTNOVElfUzVzSllveWt30gH8AUFVX3lxTFBmYy1RaHNWV3lfYXlnT0NKS2VnRGZ4RDQwcElhcHNoaHZiTFNLM3lROUtkWnhJaEdiRENJYXlwUGVkUXV3ZDBaUlJETTZsOFF1MnJBRl9RQ2tIeDkxRGRQdEdLZUN5UjFuVVd2TXFmcE8yNVVmbDNsRzhjNDZtaE84dXNMbnVCWHRpMU9YX1hncW90M3duSGw2SE10TmxQdXlYWmk0anlhVWdQUUx6SWtidzZOSmFtbkRyanJLNnY5NFNzZ0k3cUwxMC1XeUtjY1FBTjBDZGlqMHAxblpKNzh1cVNqMXE2SklDNGJqRUpkQWRvZ0E3cncyd3Y2Ng?oc=5,2025-11-29 10:07:56,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxNRnlRZTR5ZE44RGc1bDlIR2pLakRMTmlvWjNDNjFPRGdOSXhSZkd2Tm94dWJoeVpCVUh6VF9DeFh0Z2FMdURPT3hVTmlONXVsNFRMOWhsMFhaTW1meVRVR3NvQzNTSkE0YUMxVDlETThxM0gwdGhrNkJTLTBKNWZQV0ZrNzNDVUlLcGFaVldURE5HWEtEUW5Nb01qZC1BQnJEa0xLMDYyRW9NVHBIRFhUVzFRc1BQb3BuZXRtSnN2MDBkUWlFMXVFSEY5MENXOThhT0pvR19CbWpZU2hjOHVDNzBfQ1VyMjVkYTNOVElfUzVzSllveWt30gH8AUFVX3lxTFBmYy1RaHNWV3lfYXlnT0NKS2VnRGZ4RDQwcElhcHNoaHZiTFNLM3lROUtkWnhJaEdiRENJYXlwUGVkUXV3ZDBaUlJETTZsOFF1MnJBRl9RQ2tIeDkxRGRQdEdLZUN5UjFuVVd2TXFmcE8yNVVmbDNsRzhjNDZtaE84dXNMbnVCWHRpMU9YX1hncW90M3duSGw2SE10TmxQdXlYWmk0anlhVWdQUUx6SWtidzZOSmFtbkRyanJLNnY5NFNzZ0k3cUwxMC1XeUtjY1FBTjBDZGlqMHAxblpKNzh1cVNqMXE2SklDNGJqRUpkQWRvZ0E3cncyd3Y2Ng?oc=5"" target=""_blank"">Cyclone Ditwah Update: Cyclonic Storm To Bring Extremely Heavy Rainfall In Tamil Nadu & Puducherry, Schools</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",Disaster,en
"Heavy rainfall in TN, southern Andhra Pradesh, Puducherry: IMD in the wake of cyclone 'Ditwah' - The News Mill",https://news.google.com/rss/articles/CBMivwFBVV95cUxNaTdRY1ZvdWtwcHV2U0Jjc0ZnMk81WDlpY2h5V3V0RGFpRXpuTlliMnhwNGpQelZ1LXNtVkM2MUhxS09fQnZVSHBqVVhWRU9sYU1iRGx6Z2UxNGxMRlptUVFNYjdOTThuVlFlWXhyeW9fTjFMRk5BeU9NN05keGV6cE83QmIzUFRBaWM0NEJwOFhOdndwbk5tS01KZnpoMm9fNHR3cXJNVjlDMEk2MkhCQm9mZ3dPSDVwWXMxNnJSSQ?oc=5,2025-11-29 04:07:23,The News Mill,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxNaTdRY1ZvdWtwcHV2U0Jjc0ZnMk81WDlpY2h5V3V0RGFpRXpuTlliMnhwNGpQelZ1LXNtVkM2MUhxS09fQnZVSHBqVVhWRU9sYU1iRGx6Z2UxNGxMRlptUVFNYjdOTThuVlFlWXhyeW9fTjFMRk5BeU9NN05keGV6cE83QmIzUFRBaWM0NEJwOFhOdndwbk5tS01KZnpoMm9fNHR3cXJNVjlDMEk2MkhCQm9mZ3dPSDVwWXMxNnJSSQ?oc=5"" target=""_blank"">Heavy rainfall in TN, southern Andhra Pradesh, Puducherry: IMD in the wake of cyclone 'Ditwah'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The News Mill</font>",Disaster,en
Widespread rain with isolated very heavy falls likely over south coastal Andhra under influence of Ditwah from November 29 - The Hindu,https://news.google.com/rss/articles/CBMi-wFBVV95cUxPNGNBNHhUMW9pZjNqbTQ5dmdRZkhER2lnU3NSenpscDlWVzZHdEZiWlI0SC1lVVJ5WWNFRm51aEc4VVNtM1JGc2xNdjY4UVNCZDNvZ3V0a0RMZHdLUjZCVXpval9ac3FIbWVyb215d1AxOHhfNkhVVW9nUm1pSFJDRk5FeWVReklONmRLTVRmYUlYNUltT1BaSGcwTjhVQXkyZEtMSER5TG1OcTNORnJIc3JDYWpPT0F4bTMydU15M1BoWVlqcmFXMzQwVUtXbGp6eWR3LWdweWFWM2o4MUdlWTFKRGVxVkdsVERPTm5vV2JVQmxwN090TWJTONIBggJBVV95cUxNT0ZfZTctM3B4Y3FxeFljcTd2LTNfQld2Z1ZzNzMyNjcyWTBmdWIwTGZ2T1hsRjF0bWRYVW5abFhWZFpLUnFieDZfbUZxblU5NG41WFQwdDdzT2ZIY05fMHB1UWdmRGlDbmFEZ0phUjY1cWJQcnpRS0dYSFNPVTZ1aFhRRmQ4MlpOOUtxVE1EUnBMMkk3QVJHQlpDbnRCVEdUM1A1eXBKTjZWRW03X1R4Qm1MdzJTRmo1b1MzcGZkaDRIVWdHWmphbERwQjg3RHJtM2ZPYXFKc1FlalRrSFVpV0hjd1lucTFILXk1ZHd2TWdyenVDTGl4c29ibGEtM2NELWc?oc=5,2025-11-28 13:57:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxPNGNBNHhUMW9pZjNqbTQ5dmdRZkhER2lnU3NSenpscDlWVzZHdEZiWlI0SC1lVVJ5WWNFRm51aEc4VVNtM1JGc2xNdjY4UVNCZDNvZ3V0a0RMZHdLUjZCVXpval9ac3FIbWVyb215d1AxOHhfNkhVVW9nUm1pSFJDRk5FeWVReklONmRLTVRmYUlYNUltT1BaSGcwTjhVQXkyZEtMSER5TG1OcTNORnJIc3JDYWpPT0F4bTMydU15M1BoWVlqcmFXMzQwVUtXbGp6eWR3LWdweWFWM2o4MUdlWTFKRGVxVkdsVERPTm5vV2JVQmxwN090TWJTONIBggJBVV95cUxNT0ZfZTctM3B4Y3FxeFljcTd2LTNfQld2Z1ZzNzMyNjcyWTBmdWIwTGZ2T1hsRjF0bWRYVW5abFhWZFpLUnFieDZfbUZxblU5NG41WFQwdDdzT2ZIY05fMHB1UWdmRGlDbmFEZ0phUjY1cWJQcnpRS0dYSFNPVTZ1aFhRRmQ4MlpOOUtxVE1EUnBMMkk3QVJHQlpDbnRCVEdUM1A1eXBKTjZWRW03X1R4Qm1MdzJTRmo1b1MzcGZkaDRIVWdHWmphbERwQjg3RHJtM2ZPYXFKc1FlalRrSFVpV0hjd1lucTFILXk1ZHd2TWdyenVDTGl4c29ibGEtM2NELWc?oc=5"" target=""_blank"">Widespread rain with isolated very heavy falls likely over south coastal Andhra under influence of Ditwah from November 29</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
EAGLE sleuths uncover 59 mule accounts used to funnel drug money - Times of India,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOSDNmQkJIQ0tkTXZ2RG1qTW1yQ0E5My1USmlaQVdSajExT1pPamJUTzRYcEtvUGR2VmFkalZib0s0Mm02TnFJVUdxNWhwSjBMdHpUVnktaHo4aFQ3VloyVndRbnN5aXk2SkViRElaUjRlTE10NVluMTREaC1Yc1dyVnR0dFZQRFhVTnByM2hZd3dLYUI5c2JvUVNkT2ViYlVXNnNXcU15enpTamY5YW5aN2ZuVkljNmNHczgycEpsbEdndm1SLVNfZnZpbzNPZGRZYnNEMG1zeGFrYkNkWFHSAd4BQVVfeXFMTkgzZkJCSENLZE12dkRtak1tckNBOTMtVEppWkFXUmoxMU9aT2piVE80WHBLb1BkdlZhZGpWYm9LNDJtNk5xSVVHcTVocEowTHR6VFZ5LWh6OGhUN1ZaMlZ3UW5zeWl5NkpFYkRJWlI0ZUxNdDVZbjE0RGgtWHNXclZ0dHRWUERYVU5wcjNoWXd3S2FCOXNib1FTZE9lYmJVVzZzV3FNeXp6U2pmOWFuWjdmblZJYzZjR3M4MnBKbGxHZ3ZtUi1TX2Z2aW8zT2RkWWJzRDBtc3hha2JDZFhR?oc=5,2025-11-29 02:14:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOSDNmQkJIQ0tkTXZ2RG1qTW1yQ0E5My1USmlaQVdSajExT1pPamJUTzRYcEtvUGR2VmFkalZib0s0Mm02TnFJVUdxNWhwSjBMdHpUVnktaHo4aFQ3VloyVndRbnN5aXk2SkViRElaUjRlTE10NVluMTREaC1Yc1dyVnR0dFZQRFhVTnByM2hZd3dLYUI5c2JvUVNkT2ViYlVXNnNXcU15enpTamY5YW5aN2ZuVkljNmNHczgycEpsbEdndm1SLVNfZnZpbzNPZGRZYnNEMG1zeGFrYkNkWFHSAd4BQVVfeXFMTkgzZkJCSENLZE12dkRtak1tckNBOTMtVEppWkFXUmoxMU9aT2piVE80WHBLb1BkdlZhZGpWYm9LNDJtNk5xSVVHcTVocEowTHR6VFZ5LWh6OGhUN1ZaMlZ3UW5zeWl5NkpFYkRJWlI0ZUxNdDVZbjE0RGgtWHNXclZ0dHRWUERYVU5wcjNoWXd3S2FCOXNib1FTZE9lYmJVVzZzV3FNeXp6U2pmOWFuWjdmblZJYzZjR3M4MnBKbGxHZ3ZtUi1TX2Z2aW8zT2RkWWJzRDBtc3hha2JDZFhR?oc=5"" target=""_blank"">EAGLE sleuths uncover 59 mule accounts used to funnel drug money</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
Rising Waters: Tragedy Strikes Southern Thailand - Devdiscourse,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQVnAyUTFlYTVKWmg3aUJha1dPQkFVby1vRDZrYTBSRVpYTWpzYWlTb09zbS1ybEp3OTRJSklDY3NpUFBEUVUyZWJEcFZ2WXQyd3drdEVMandkT2V2R3J6QmNIRDlGQkJuYXYxaHpJa3JxeGJoZURBRUJNTlVlTzJCX21qTkNHUHNBVHJtRk0xTjd4T1gxY0s1dHZxdjZYX2F3Z1NnMklUUzAxZ9IBqgFBVV95cUxQVnAyUTFlYTVKWmg3aUJha1dPQkFVby1vRDZrYTBSRVpYTWpzYWlTb09zbS1ybEp3OTRJSklDY3NpUFBEUVUyZWJEcFZ2WXQyd3drdEVMandkT2V2R3J6QmNIRDlGQkJuYXYxaHpJa3JxeGJoZURBRUJNTlVlTzJCX21qTkNHUHNBVHJtRk0xTjd4T1gxY0s1dHZxdjZYX2F3Z1NnMklUUzAxZw?oc=5,2025-11-28 11:28:23,Devdiscourse,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQVnAyUTFlYTVKWmg3aUJha1dPQkFVby1vRDZrYTBSRVpYTWpzYWlTb09zbS1ybEp3OTRJSklDY3NpUFBEUVUyZWJEcFZ2WXQyd3drdEVMandkT2V2R3J6QmNIRDlGQkJuYXYxaHpJa3JxeGJoZURBRUJNTlVlTzJCX21qTkNHUHNBVHJtRk0xTjd4T1gxY0s1dHZxdjZYX2F3Z1NnMklUUzAxZ9IBqgFBVV95cUxQVnAyUTFlYTVKWmg3aUJha1dPQkFVby1vRDZrYTBSRVpYTWpzYWlTb09zbS1ybEp3OTRJSklDY3NpUFBEUVUyZWJEcFZ2WXQyd3drdEVMandkT2V2R3J6QmNIRDlGQkJuYXYxaHpJa3JxeGJoZURBRUJNTlVlTzJCX21qTkNHUHNBVHJtRk0xTjd4T1gxY0s1dHZxdjZYX2F3Z1NnMklUUzAxZw?oc=5"" target=""_blank"">Rising Waters: Tragedy Strikes Southern Thailand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Devdiscourse</font>",Disaster,en
4 jawans injured as militants attack AR outpost in Manipur - Times of India,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPWmdhNHhoNjBka0E1dTVhZ2VUc1h4RjlVQ2lmYXJFQlN1N08wblR2U1hIbHVJRk0ycUl4b3A4WllEaDlGQXFJOWVjV1NPYVFnOWh4ZU5fSmsxQlhmZjQteXhFcE1rbC1UbzBCUW1rRko4VkJJRHFZZ2lMNFNweHJ0eVVYOV9VX1lwUFE0cXNVaWxKWV9NVEZrVW5EcmlsMm5sRnF5UEpZSUVianVXWGVyaE8tSURxU2dCM0lWbzFTR0pRdXg1bjdkY19udWtVeExYS3oxQtIB1AFBVV95cUxPWmdhNHhoNjBka0E1dTVhZ2VUc1h4RjlVQ2lmYXJFQlN1N08wblR2U1hIbHVJRk0ycUl4b3A4WllEaDlGQXFJOWVjV1NPYVFnOWh4ZU5fSmsxQlhmZjQteXhFcE1rbC1UbzBCUW1rRko4VkJJRHFZZ2lMNFNweHJ0eVVYOV9VX1lwUFE0cXNVaWxKWV9NVEZrVW5EcmlsMm5sRnF5UEpZSUVianVXWGVyaE8tSURxU2dCM0lWbzFTR0pRdXg1bjdkY19udWtVeExYS3oxQg?oc=5,2025-11-28 23:11:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxPWmdhNHhoNjBka0E1dTVhZ2VUc1h4RjlVQ2lmYXJFQlN1N08wblR2U1hIbHVJRk0ycUl4b3A4WllEaDlGQXFJOWVjV1NPYVFnOWh4ZU5fSmsxQlhmZjQteXhFcE1rbC1UbzBCUW1rRko4VkJJRHFZZ2lMNFNweHJ0eVVYOV9VX1lwUFE0cXNVaWxKWV9NVEZrVW5EcmlsMm5sRnF5UEpZSUVianVXWGVyaE8tSURxU2dCM0lWbzFTR0pRdXg1bjdkY19udWtVeExYS3oxQtIB1AFBVV95cUxPWmdhNHhoNjBka0E1dTVhZ2VUc1h4RjlVQ2lmYXJFQlN1N08wblR2U1hIbHVJRk0ycUl4b3A4WllEaDlGQXFJOWVjV1NPYVFnOWh4ZU5fSmsxQlhmZjQteXhFcE1rbC1UbzBCUW1rRko4VkJJRHFZZ2lMNFNweHJ0eVVYOV9VX1lwUFE0cXNVaWxKWV9NVEZrVW5EcmlsMm5sRnF5UEpZSUVianVXWGVyaE8tSURxU2dCM0lWbzFTR0pRdXg1bjdkY19udWtVeExYS3oxQg?oc=5"" target=""_blank"">4 jawans injured as militants attack AR outpost in Manipur</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Cyclone Ditwah: IMD Issues Orange Alert for North Tamil Nadu, Puducherry, and South Andhra Pradesh - dy365live.com",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPOUNBNE1fT1BEemJqcHJOVTB5aTNybldWTDlKMlRha2c1THVyR3FJamszTmdiUmg3RTdLVkF2Wlh6SkM2U1EtMUVKYlFUUE1SaXhjUFNOYzI2c2VWQUdsT1diczcwR3l6X1FOcVpidmZ1SmtDVkE0WnkzeVNPQzRNakRwNEFZRk1CVk9Dblk4b0FDQVhaTG1QaVpzVFYtTWFuNHFSWEFldDNIeU1BanpMMjlaTENKYjF4V2E2N2JKTmZRS18zcUdWek1HVDF6NGha?oc=5,2025-11-28 14:29:13,dy365live.com,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPOUNBNE1fT1BEemJqcHJOVTB5aTNybldWTDlKMlRha2c1THVyR3FJamszTmdiUmg3RTdLVkF2Wlh6SkM2U1EtMUVKYlFUUE1SaXhjUFNOYzI2c2VWQUdsT1diczcwR3l6X1FOcVpidmZ1SmtDVkE0WnkzeVNPQzRNakRwNEFZRk1CVk9Dblk4b0FDQVhaTG1QaVpzVFYtTWFuNHFSWEFldDNIeU1BanpMMjlaTENKYjF4V2E2N2JKTmZRS18zcUdWek1HVDF6NGha?oc=5"" target=""_blank"">Cyclone Ditwah: IMD Issues Orange Alert for North Tamil Nadu, Puducherry, and South Andhra Pradesh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">dy365live.com</font>",Disaster,en
"Four flights diverted from Colombo to Thiruvananthapuram following bad weather, intensifying cyclonic storm Ditwah - desitalkchicago.com",https://news.google.com/rss/articles/CBMi2gFBVV95cUxPcjVzUndSbDFMMk5FV1JpZUZuUnNoZVJxVEp5ekZISzJiNTVLcWlmZjRhUUNjT3lSaDl5TlVtTFZrME92UmJiMXpoemIxV1hZN19VWUtyVXIyNjFYS1otQmJnVFdLcE9jalk4UW1Ld2UzZ2FvNmJ0MlJxazM1bVpONVpFRDQwdm1SMU82Szg2aEM1WWU4SG01SWxUdFNDVm9qaUY0bWtPVUVpc2VzeXlQS290UE9BektKUjVLZ1dvdmNLaDdWWUIyd215NjlrOFFmX09FRzBUV09GZw?oc=5,2025-11-28 11:54:07,desitalkchicago.com,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPcjVzUndSbDFMMk5FV1JpZUZuUnNoZVJxVEp5ekZISzJiNTVLcWlmZjRhUUNjT3lSaDl5TlVtTFZrME92UmJiMXpoemIxV1hZN19VWUtyVXIyNjFYS1otQmJnVFdLcE9jalk4UW1Ld2UzZ2FvNmJ0MlJxazM1bVpONVpFRDQwdm1SMU82Szg2aEM1WWU4SG01SWxUdFNDVm9qaUY0bWtPVUVpc2VzeXlQS290UE9BektKUjVLZ1dvdmNLaDdWWUIyd215NjlrOFFmX09FRzBUV09GZw?oc=5"" target=""_blank"">Four flights diverted from Colombo to Thiruvananthapuram following bad weather, intensifying cyclonic storm Ditwah</a>&nbsp;&nbsp;<font color=""#6f6f6f"">desitalkchicago.com</font>",Disaster,en
